user_id_str,hashtags,cashtags
1630396281515560960,"NFT, NFTGiveaway",-
1247519489991659520,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1537652070194769920,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1568409972387749888,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1433713137195405312,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1549752178285617152,"NFT, NFTContest, DigitalArtGiveaway, FreeNFT, NFTCommunity, NFTCollector, NFTGiveaway, NFTs",-
1430723355745787904,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1537839758222561280,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1401107371267551232,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
760764831691603968,"1s, NFTGiveaways, NFTGiveaway, NFTCollection, nftart, NFTProject, WAXP, WAX, WaxFam, WAXNFT, WAXWEDNESDAY, ULTRAMAN, NftGang",-
1529335033722376192,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1493601062019862528,"NFT, Giveaway, NFTGiveaways, FreeMint, ETH, BTC, BNB, SOL, SUI, CRO, NFTGiveaway, NFTCommunity, NFTs, Giveaways, GOSHFinder",-
1253006253439279104,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1359393280606175232,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1448974991714709504,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1487907997267419136,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
1589174746934956032,"NFTGiveaway, NFTCommmunity, Ordinals, OrdinalsNFT, BTC",-
1581685673849151488,"NFTs, NFTGiveaway, NFTCommunity",SOL
1575924534527823872,"NFTs, NFTGiveaway, NFTCommunity",SOL
1546739327140372480,"NFTGiveaway, NFTCommunity, NFT, Giveaway, NYAVATAR",-
1578389168505245696,"NFT, NFTGiveaway, NFTCommmunity, ad",-
160266483,"NFTGiveaway, NFT, NFTCommunity",-
1476409045175070720,"NFTGiveaway, NFTCommunity, NFTs, NFTGiveaways",-
1477642581932605440,"NFTGiveaway, NFTCommunity, NFTs",-
1565341237502427136,"NFTGiveaway, NFTCommunity, NFTs",SOL
1484060018123362304,"NFTGiveaway, NFTCommunity, NFTs",SOL
1579637309691002880,"NFTs, NFTGiveaway, NFTCommunity",SOL
1514365515535245312,"1s, NFTGiveaways, NFTGiveaway, NFTCollection, nftart, NFTProject, WAXP, WAX, WaxFam, WAXNFT, WAXWEDNESDAY, ULTRAMAN, NftGang",-
1492590165130457088,"FREE, NFT, NFTs, NFTgiveaway, nftcommunity, nftdrop",-
1481371569939226624,"Bullish, sofi, Airdrop, DeFi, Uniswap, ETH, Giveaway, Aptos, DeNet",BUSD
818827609123487744,"NFT, NFTGiveaway",-
1591403806700486656,"NFT, NFTGiveaway",-
1622999174097809408,"NFT, NFTGiveaway",-
122192874,"NFT, NFTGiveaway",-
1369969117336276992,"NFT, nftcollectors, nftart, nfts, nftcommunity, nftartist, nftcollectibles, nftgiveaway, nft_ru, nftshill, nftdrop, nfthypesquad",-
1450102007734341632,"NFT, NFTGiveaway",-
1519264663476879360,"NFT, NFTGiveaway",-
1549538178264072192,"NFTCommunity, NFT, NFTsales, NFTDrop, NFTCollectors, cryptoart, NFTGiveaway",-
1479087780684709888,"NFT, NFTGiveaway",-
798940814021918720,"NFT, NFTGiveaway",-
1499086185054228480,"NFT, NFTGiveaway",-
1411787608347185152,"NFT, NFTGiveaway",-
1390615901100072960,"NFT, NFTGiveaway",-
1390614631547215872,"NFT, NFTGiveaway",-
1584631881756282880,"FAYC, NFT, giveaway, NFTcommunity, ForestApeYC, FAYC, nftcollectors, NFTAirdrop, apeclub, nfts, nftwhales, nftartwork, nftcollector, NFTGiveaway",-
1346056554961723392,"NFT, NFTGiveaway",-
827889962251071488,"NFT, NFTGiveaway",-
1501670429190234112,"NFT, NFTGiveaway",-
1584534586624720896,"NFT, NFTGiveaway",-
1446900481234776064,"NFT, GIVEAWAY, NFTs, cnft, solnfts, ethnfts, AptosNFTs, NFTCommunity, avaxnfts, nftcollectors",-
